job,task,Robot_id,machine_id,resource,start_time,end_time,op_name,op_duration
4,4,RightArm,2,RightArm_2,0.000000,10.760000,Lane1 Pick + AGV Drop,10.76s
4,5,AGV,5,AGV_5,10.760000,30.760000,right_to_delivery + delivery_to_right,20.00s
